,cluster,Cai,distancia,tiempo,CriminalidadLocalidad
12305,235.0,Cai Chapinero ,1.2 km,5,13.811828262289291
12309,235.0,Cai Lourdes ,0.7 km,3,13.811828262289291
12460,239.0,Cai Chile ,0.4 km,2,13.811828262289291
12468,239.0,Cai Chapinero ,0.5 km,3,13.811828262289291
12469,239.0,Cai Rosales ,1.7 km,8,13.811828262289291
12472,239.0,Cai Oxy ,1.5 km,7,13.811828262289291
12474,239.0,Cai Lourdes ,1.1 km,6,13.811828262289291
12476,239.0,Cai Granada ,1.7 km,8,13.811828262289291
12664,47.0,Cai Guacamayas ,2.7 km,8,3.9049283849637786
12667,47.0,Cai Danubio Azul ,1.7 km,7,3.9049283849637786
12668,47.0,Cai La Victoria ,2.2 km,8,3.9049283849637786
12774,47.0,Cai Dianaturbay ,0.6 km,3,3.9049283849637786
12779,47.0,Cai Los Molinos ,1.9 km,6,3.9049283849637786
12795,47.0,Cai Palermo Sur ,1.1 km,5,3.9049283849637786
12878,141.0,Cai Macarena ,3.0 km,8,2.9593243387289996
12885,141.0,Cai Versalles ,2.0 km,8,2.9593243387289996
13002,101.0,Cai La Victoria ,1.7 km,6,2.4853124012353445
13004,101.0,Cai Bello Horizonte ,0.8 km,3,2.4853124012353445
13005,101.0,Cai Guacamayas ,0.5 km,2,2.4853124012353445
13125,101.0,Cai Dianaturbay ,2.0 km,6,2.4853124012353445
13164,91.0,Cai Telecom ,3.1 km,7,2.878816391520804
13166,91.0,Cai Torres Blancas ,3.6 km,7,2.878816391520804
13176,91.0,Cai San Diego ,3.1 km,6,2.878816391520804
13272,91.0,Cai Soledad ,2.7 km,8,2.878816391520804
13275,91.0,Cai Teusaquillo ,2.6 km,8,2.878816391520804
13281,91.0,Cai Samper Mendoza ,2.1 km,4,2.878816391520804
13317,48.0,Cai Lisboa ,1.8 km,5,4.601013191631184
13320,48.0,Cai Unicentro ,2.3 km,8,4.601013191631184
13329,48.0,Cai Santa Barbara ,1.7 km,5,4.601013191631184
13618,125.0,Cai Federman ,3.3 km,8,2.878816391520804
13620,125.0,Cai Esmeralda ,2.6 km,8,2.878816391520804
13621,125.0,Cai Galerias ,3.8 km,8,2.878816391520804
